x,u
0.000000e+00,9.977382e-01
1.000000e-02,9.977319e-01
2.000000e-02,9.977261e-01
3.000000e-02,9.977188e-01
4.000000e-02,9.977093e-01
5.000000e-02,9.976977e-01
6.000000e-02,9.976839e-01
7.000000e-02,9.976679e-01
8.000000e-02,9.976496e-01
9.000000e-02,9.976290e-01
1.000000e-01,9.976061e-01
1.100000e-01,9.975810e-01
1.200000e-01,9.975535e-01
1.300000e-01,9.975236e-01
1.400000e-01,9.974914e-01
1.500000e-01,9.974567e-01
1.600000e-01,9.974197e-01
1.700000e-01,9.973801e-01
1.800000e-01,9.973381e-01
1.900000e-01,9.972935e-01
2.000000e-01,9.972464e-01
2.100000e-01,9.971966e-01
2.200000e-01,9.971442e-01
2.300000e-01,9.970892e-01
2.400000e-01,9.970314e-01
2.500000e-01,9.969708e-01
2.600000e-01,9.969075e-01
2.700000e-01,9.968412e-01
2.800000e-01,9.967721e-01
2.900000e-01,9.967000e-01
3.000000e-01,9.966248e-01
3.100000e-01,9.965466e-01
3.200000e-01,9.964653e-01
3.300000e-01,9.963808e-01
3.400000e-01,9.962931e-01
3.500000e-01,9.962021e-01
3.600000e-01,9.961077e-01
3.700000e-01,9.960099e-01
3.800000e-01,9.959086e-01
3.900000e-01,9.958038e-01
4.000000e-01,9.956953e-01
4.100000e-01,9.955832e-01
4.200000e-01,9.954674e-01
4.300000e-01,9.953477e-01
4.400000e-01,9.952241e-01
4.500000e-01,9.950966e-01
4.600000e-01,9.949650e-01
4.700000e-01,9.948294e-01
4.800000e-01,9.946895e-01
4.900000e-01,9.945455e-01
5.000000e-01,9.943971e-01
5.100000e-01,9.942442e-01
5.200000e-01,9.940869e-01
5.300000e-01,9.939251e-01
5.400000e-01,9.937586e-01
5.500000e-01,9.935874e-01
5.600000e-01,9.934114e-01
5.700000e-01,9.932306e-01
5.800000e-01,9.930447e-01
5.900000e-01,9.928539e-01
6.000000e-01,9.926579e-01
6.100000e-01,9.924567e-01
6.200000e-01,9.922503e-01
6.300000e-01,9.920385e-01
6.400000e-01,9.918213e-01
6.500000e-01,9.915985e-01
6.600000e-01,9.913702e-01
6.700000e-01,9.911362e-01
6.800000e-01,9.908964e-01
6.900000e-01,9.906508e-01
7.000000e-01,9.903992e-01
7.100000e-01,9.901417e-01
7.200000e-01,9.898781e-01
7.300000e-01,9.896083e-01
7.400000e-01,9.893323e-01
7.500000e-01,9.890500e-01
7.600000e-01,9.887613e-01
7.700000e-01,9.884661e-01
7.800000e-01,9.881644e-01
7.900000e-01,9.878561e-01
8.000000e-01,9.875411e-01
8.100000e-01,9.872194e-01
8.200000e-01,9.868908e-01
8.300000e-01,9.865553e-01
8.400000e-01,9.862129e-01
8.500000e-01,9.858635e-01
8.600000e-01,9.855069e-01
8.700000e-01,9.851432e-01
8.800000e-01,9.847723e-01
8.900000e-01,9.843941e-01
9.000000e-01,9.840085e-01
9.100000e-01,9.836156e-01
9.200000e-01,9.832152e-01
9.300000e-01,9.828073e-01
9.400000e-01,9.823918e-01
9.500000e-01,9.819687e-01
9.600000e-01,9.815379e-01
9.700000e-01,9.810995e-01
9.800000e-01,9.806532e-01
9.900000e-01,9.802036e-01
