x,u
0.000000e+00,9.998174e-01
1.000000e-02,9.998159e-01
2.000000e-02,9.998146e-01
3.000000e-02,9.998129e-01
4.000000e-02,9.998107e-01
5.000000e-02,9.998080e-01
6.000000e-02,9.998048e-01
7.000000e-02,9.998010e-01
8.000000e-02,9.997967e-01
9.000000e-02,9.997918e-01
1.000000e-01,9.997863e-01
1.100000e-01,9.997803e-01
1.200000e-01,9.997736e-01
1.300000e-01,9.997662e-01
1.400000e-01,9.997582e-01
1.500000e-01,9.997495e-01
1.600000e-01,9.997401e-01
1.700000e-01,9.997299e-01
1.800000e-01,9.997190e-01
1.900000e-01,9.997072e-01
2.000000e-01,9.996946e-01
2.100000e-01,9.996812e-01
2.200000e-01,9.996668e-01
2.300000e-01,9.996514e-01
2.400000e-01,9.996351e-01
2.500000e-01,9.996177e-01
2.600000e-01,9.995992e-01
2.700000e-01,9.995795e-01
2.800000e-01,9.995587e-01
2.900000e-01,9.995366e-01
3.000000e-01,9.995132e-01
3.100000e-01,9.994885e-01
3.200000e-01,9.994623e-01
3.300000e-01,9.994346e-01
3.400000e-01,9.994054e-01
3.500000e-01,9.993745e-01
3.600000e-01,9.993419e-01
3.700000e-01,9.993076e-01
3.800000e-01,9.992714e-01
3.900000e-01,9.992333e-01
4.000000e-01,9.991932e-01
4.100000e-01,9.991509e-01
4.200000e-01,9.991065e-01
4.300000e-01,9.990598e-01
4.400000e-01,9.990107e-01
4.500000e-01,9.989592e-01
4.600000e-01,9.989051e-01
4.700000e-01,9.988483e-01
4.800000e-01,9.987888e-01
4.900000e-01,9.987264e-01
5.000000e-01,9.986610e-01
5.100000e-01,9.985925e-01
5.200000e-01,9.985208e-01
5.300000e-01,9.984458e-01
5.400000e-01,9.983674e-01
5.500000e-01,9.982853e-01
5.600000e-01,9.981996e-01
5.700000e-01,9.981101e-01
5.800000e-01,9.980166e-01
5.900000e-01,9.979191e-01
6.000000e-01,9.978174e-01
6.100000e-01,9.977113e-01
6.200000e-01,9.976007e-01
6.300000e-01,9.974856e-01
6.400000e-01,9.973656e-01
6.500000e-01,9.972408e-01
6.600000e-01,9.971110e-01
6.700000e-01,9.969760e-01
6.800000e-01,9.968357e-01
6.900000e-01,9.966899e-01
7.000000e-01,9.965385e-01
7.100000e-01,9.963814e-01
7.200000e-01,9.962183e-01
7.300000e-01,9.960492e-01
7.400000e-01,9.958739e-01
7.500000e-01,9.956923e-01
7.600000e-01,9.955041e-01
7.700000e-01,9.953094e-01
7.800000e-01,9.951078e-01
7.900000e-01,9.948993e-01
8.000000e-01,9.946837e-01
8.100000e-01,9.944609e-01
8.200000e-01,9.942308e-01
8.300000e-01,9.939931e-01
8.400000e-01,9.937478e-01
8.500000e-01,9.934947e-01
8.600000e-01,9.932336e-01
8.700000e-01,9.929645e-01
8.800000e-01,9.926872e-01
8.900000e-01,9.924016e-01
9.000000e-01,9.921076e-01
9.100000e-01,9.918049e-01
9.200000e-01,9.914936e-01
9.300000e-01,9.911734e-01
9.400000e-01,9.908443e-01
9.500000e-01,9.905061e-01
9.600000e-01,9.901588e-01
9.700000e-01,9.898022e-01
9.800000e-01,9.894362e-01
9.900000e-01,9.890652e-01
