x,u
0.000000e+00,9.545337e-01
1.000000e-02,9.545183e-01
2.000000e-02,9.545043e-01
3.000000e-02,9.544863e-01
4.000000e-02,9.544633e-01
5.000000e-02,9.544351e-01
6.000000e-02,9.544016e-01
7.000000e-02,9.543627e-01
8.000000e-02,9.543185e-01
9.000000e-02,9.542689e-01
1.000000e-01,9.542139e-01
1.100000e-01,9.541536e-01
1.200000e-01,9.540879e-01
1.300000e-01,9.540169e-01
1.400000e-01,9.539404e-01
1.500000e-01,9.538586e-01
1.600000e-01,9.537714e-01
1.700000e-01,9.536788e-01
1.800000e-01,9.535809e-01
1.900000e-01,9.534776e-01
2.000000e-01,9.533688e-01
2.100000e-01,9.532548e-01
2.200000e-01,9.531353e-01
2.300000e-01,9.530105e-01
2.400000e-01,9.528803e-01
2.500000e-01,9.527447e-01
2.600000e-01,9.526037e-01
2.700000e-01,9.524573e-01
2.800000e-01,9.523056e-01
2.900000e-01,9.521485e-01
3.000000e-01,9.519859e-01
3.100000e-01,9.518181e-01
3.200000e-01,9.516448e-01
3.300000e-01,9.514661e-01
3.400000e-01,9.512821e-01
3.500000e-01,9.510926e-01
3.600000e-01,9.508978e-01
3.700000e-01,9.506976e-01
3.800000e-01,9.504920e-01
3.900000e-01,9.502810e-01
4.000000e-01,9.500646e-01
4.100000e-01,9.498428e-01
4.200000e-01,9.496156e-01
4.300000e-01,9.493831e-01
4.400000e-01,9.491451e-01
4.500000e-01,9.489017e-01
4.600000e-01,9.486530e-01
4.700000e-01,9.483988e-01
4.800000e-01,9.481393e-01
4.900000e-01,9.478743e-01
5.000000e-01,9.476040e-01
5.100000e-01,9.473282e-01
5.200000e-01,9.470471e-01
5.300000e-01,9.467605e-01
5.400000e-01,9.464686e-01
5.500000e-01,9.461712e-01
5.600000e-01,9.458685e-01
5.700000e-01,9.455603e-01
5.800000e-01,9.452468e-01
5.900000e-01,9.449278e-01
6.000000e-01,9.446034e-01
6.100000e-01,9.442737e-01
6.200000e-01,9.439385e-01
6.300000e-01,9.435979e-01
6.400000e-01,9.432519e-01
6.500000e-01,9.429005e-01
6.600000e-01,9.425437e-01
6.700000e-01,9.421815e-01
6.800000e-01,9.418139e-01
6.900000e-01,9.414409e-01
7.000000e-01,9.410625e-01
7.100000e-01,9.406787e-01
7.200000e-01,9.402895e-01
7.300000e-01,9.398949e-01
7.400000e-01,9.394949e-01
7.500000e-01,9.390895e-01
7.600000e-01,9.386787e-01
7.700000e-01,9.382625e-01
7.800000e-01,9.378409e-01
7.900000e-01,9.374139e-01
8.000000e-01,9.369815e-01
8.100000e-01,9.365437e-01
8.200000e-01,9.361006e-01
8.300000e-01,9.356520e-01
8.400000e-01,9.351981e-01
8.500000e-01,9.347387e-01
8.600000e-01,9.342740e-01
8.700000e-01,9.338039e-01
8.800000e-01,9.333284e-01
8.900000e-01,9.328476e-01
9.000000e-01,9.323614e-01
9.100000e-01,9.318698e-01
9.200000e-01,9.313728e-01
9.300000e-01,9.308705e-01
9.400000e-01,9.303628e-01
9.500000e-01,9.298497e-01
9.600000e-01,9.293313e-01
9.700000e-01,9.288075e-01
9.800000e-01,9.282784e-01
9.900000e-01,9.277481e-01
