x,u
0.000000e+00,9.692038e-01
1.000000e-02,9.691888e-01
2.000000e-02,9.691752e-01
3.000000e-02,9.691577e-01
4.000000e-02,9.691354e-01
5.000000e-02,9.691080e-01
6.000000e-02,9.690754e-01
7.000000e-02,9.690377e-01
8.000000e-02,9.689947e-01
9.000000e-02,9.689465e-01
1.000000e-01,9.688931e-01
1.100000e-01,9.688345e-01
1.200000e-01,9.687706e-01
1.300000e-01,9.687015e-01
1.400000e-01,9.686272e-01
1.500000e-01,9.685476e-01
1.600000e-01,9.684628e-01
1.700000e-01,9.683727e-01
1.800000e-01,9.682774e-01
1.900000e-01,9.681769e-01
2.000000e-01,9.680711e-01
2.100000e-01,9.679601e-01
2.200000e-01,9.678438e-01
2.300000e-01,9.677222e-01
2.400000e-01,9.675953e-01
2.500000e-01,9.674632e-01
2.600000e-01,9.673259e-01
2.700000e-01,9.671832e-01
2.800000e-01,9.670353e-01
2.900000e-01,9.668821e-01
3.000000e-01,9.667235e-01
3.100000e-01,9.665597e-01
3.200000e-01,9.663906e-01
3.300000e-01,9.662162e-01
3.400000e-01,9.660365e-01
3.500000e-01,9.658515e-01
3.600000e-01,9.656611e-01
3.700000e-01,9.654654e-01
3.800000e-01,9.652644e-01
3.900000e-01,9.650581e-01
4.000000e-01,9.648464e-01
4.100000e-01,9.646293e-01
4.200000e-01,9.644069e-01
4.300000e-01,9.641792e-01
4.400000e-01,9.639461e-01
4.500000e-01,9.637076e-01
4.600000e-01,9.634637e-01
4.700000e-01,9.632145e-01
4.800000e-01,9.629598e-01
4.900000e-01,9.626998e-01
5.000000e-01,9.624344e-01
5.100000e-01,9.621636e-01
5.200000e-01,9.618873e-01
5.300000e-01,9.616057e-01
5.400000e-01,9.613186e-01
5.500000e-01,9.610261e-01
5.600000e-01,9.607282e-01
5.700000e-01,9.604248e-01
5.800000e-01,9.601160e-01
5.900000e-01,9.598017e-01
6.000000e-01,9.594820e-01
6.100000e-01,9.591568e-01
6.200000e-01,9.588261e-01
6.300000e-01,9.584900e-01
6.400000e-01,9.581483e-01
6.500000e-01,9.578012e-01
6.600000e-01,9.574487e-01
6.700000e-01,9.570906e-01
6.800000e-01,9.567270e-01
6.900000e-01,9.563579e-01
7.000000e-01,9.559833e-01
7.100000e-01,9.556032e-01
7.200000e-01,9.552176e-01
7.300000e-01,9.548264e-01
7.400000e-01,9.544297e-01
7.500000e-01,9.540275e-01
7.600000e-01,9.536198e-01
7.700000e-01,9.532065e-01
7.800000e-01,9.527877e-01
7.900000e-01,9.523633e-01
8.000000e-01,9.519334e-01
8.100000e-01,9.514979e-01
8.200000e-01,9.510569e-01
8.300000e-01,9.506103e-01
8.400000e-01,9.501581e-01
8.500000e-01,9.497004e-01
8.600000e-01,9.492371e-01
8.700000e-01,9.487683e-01
8.800000e-01,9.482938e-01
8.900000e-01,9.478138e-01
9.000000e-01,9.473283e-01
9.100000e-01,9.468371e-01
9.200000e-01,9.463404e-01
9.300000e-01,9.458381e-01
9.400000e-01,9.453303e-01
9.500000e-01,9.448168e-01
9.600000e-01,9.442978e-01
9.700000e-01,9.437732e-01
9.800000e-01,9.432430e-01
9.900000e-01,9.427115e-01
