x,u
0.000000e+00,9.378120e-01
1.000000e-02,9.377966e-01
2.000000e-02,9.377825e-01
3.000000e-02,9.377645e-01
4.000000e-02,9.377415e-01
5.000000e-02,9.377133e-01
6.000000e-02,9.376797e-01
7.000000e-02,9.376408e-01
8.000000e-02,9.375966e-01
9.000000e-02,9.375469e-01
1.000000e-01,9.374919e-01
1.100000e-01,9.374316e-01
1.200000e-01,9.373658e-01
1.300000e-01,9.372947e-01
1.400000e-01,9.372182e-01
1.500000e-01,9.371363e-01
1.600000e-01,9.370491e-01
1.700000e-01,9.369565e-01
1.800000e-01,9.368585e-01
1.900000e-01,9.367551e-01
2.000000e-01,9.366464e-01
2.100000e-01,9.365323e-01
2.200000e-01,9.364128e-01
2.300000e-01,9.362880e-01
2.400000e-01,9.361578e-01
2.500000e-01,9.360222e-01
2.600000e-01,9.358813e-01
2.700000e-01,9.357349e-01
2.800000e-01,9.355833e-01
2.900000e-01,9.354262e-01
3.000000e-01,9.352638e-01
3.100000e-01,9.350961e-01
3.200000e-01,9.349229e-01
3.300000e-01,9.347444e-01
3.400000e-01,9.345606e-01
3.500000e-01,9.343714e-01
3.600000e-01,9.341768e-01
3.700000e-01,9.339769e-01
3.800000e-01,9.337716e-01
3.900000e-01,9.335610e-01
4.000000e-01,9.333450e-01
4.100000e-01,9.331237e-01
4.200000e-01,9.328970e-01
4.300000e-01,9.326650e-01
4.400000e-01,9.324276e-01
4.500000e-01,9.321848e-01
4.600000e-01,9.319368e-01
4.700000e-01,9.316833e-01
4.800000e-01,9.314246e-01
4.900000e-01,9.311605e-01
5.000000e-01,9.308910e-01
5.100000e-01,9.306162e-01
5.200000e-01,9.303361e-01
5.300000e-01,9.300507e-01
5.400000e-01,9.297599e-01
5.500000e-01,9.294637e-01
5.600000e-01,9.291623e-01
5.700000e-01,9.288555e-01
5.800000e-01,9.285434e-01
5.900000e-01,9.282260e-01
6.000000e-01,9.279032e-01
6.100000e-01,9.275752e-01
6.200000e-01,9.272418e-01
6.300000e-01,9.269031e-01
6.400000e-01,9.265591e-01
6.500000e-01,9.262098e-01
6.600000e-01,9.258551e-01
6.700000e-01,9.254952e-01
6.800000e-01,9.251300e-01
6.900000e-01,9.247594e-01
7.000000e-01,9.243836e-01
7.100000e-01,9.240024e-01
7.200000e-01,9.236160e-01
7.300000e-01,9.232243e-01
7.400000e-01,9.228273e-01
7.500000e-01,9.224250e-01
7.600000e-01,9.220175e-01
7.700000e-01,9.216046e-01
7.800000e-01,9.211865e-01
7.900000e-01,9.207631e-01
8.000000e-01,9.203344e-01
8.100000e-01,9.199005e-01
8.200000e-01,9.194613e-01
8.300000e-01,9.190169e-01
8.400000e-01,9.185672e-01
8.500000e-01,9.181123e-01
8.600000e-01,9.176521e-01
8.700000e-01,9.171866e-01
8.800000e-01,9.167160e-01
8.900000e-01,9.162401e-01
9.000000e-01,9.157589e-01
9.100000e-01,9.152725e-01
9.200000e-01,9.147810e-01
9.300000e-01,9.142841e-01
9.400000e-01,9.137821e-01
9.500000e-01,9.132749e-01
9.600000e-01,9.127625e-01
9.700000e-01,9.122448e-01
9.800000e-01,9.117220e-01
9.900000e-01,9.111981e-01
