x,u
0.000000e+00,9.396686e-01
1.000000e-02,9.396532e-01
2.000000e-02,9.396391e-01
3.000000e-02,9.396211e-01
4.000000e-02,9.395981e-01
5.000000e-02,9.395698e-01
6.000000e-02,9.395363e-01
7.000000e-02,9.394973e-01
8.000000e-02,9.394530e-01
9.000000e-02,9.394034e-01
1.000000e-01,9.393483e-01
1.100000e-01,9.392879e-01
1.200000e-01,9.392221e-01
1.300000e-01,9.391510e-01
1.400000e-01,9.390744e-01
1.500000e-01,9.389925e-01
1.600000e-01,9.389052e-01
1.700000e-01,9.388125e-01
1.800000e-01,9.387144e-01
1.900000e-01,9.386110e-01
2.000000e-01,9.385022e-01
2.100000e-01,9.383880e-01
2.200000e-01,9.382684e-01
2.300000e-01,9.381435e-01
2.400000e-01,9.380132e-01
2.500000e-01,9.378775e-01
2.600000e-01,9.377364e-01
2.700000e-01,9.375900e-01
2.800000e-01,9.374382e-01
2.900000e-01,9.372810e-01
3.000000e-01,9.371185e-01
3.100000e-01,9.369506e-01
3.200000e-01,9.367773e-01
3.300000e-01,9.365987e-01
3.400000e-01,9.364147e-01
3.500000e-01,9.362253e-01
3.600000e-01,9.360306e-01
3.700000e-01,9.358305e-01
3.800000e-01,9.356250e-01
3.900000e-01,9.354142e-01
4.000000e-01,9.351980e-01
4.100000e-01,9.349765e-01
4.200000e-01,9.347496e-01
4.300000e-01,9.345173e-01
4.400000e-01,9.342797e-01
4.500000e-01,9.340367e-01
4.600000e-01,9.337884e-01
4.700000e-01,9.335347e-01
4.800000e-01,9.332757e-01
4.900000e-01,9.330113e-01
5.000000e-01,9.327416e-01
5.100000e-01,9.324666e-01
5.200000e-01,9.321862e-01
5.300000e-01,9.319004e-01
5.400000e-01,9.316093e-01
5.500000e-01,9.313129e-01
5.600000e-01,9.310111e-01
5.700000e-01,9.307040e-01
5.800000e-01,9.303915e-01
5.900000e-01,9.300738e-01
6.000000e-01,9.297506e-01
6.100000e-01,9.294222e-01
6.200000e-01,9.290884e-01
6.300000e-01,9.287494e-01
6.400000e-01,9.284049e-01
6.500000e-01,9.280552e-01
6.600000e-01,9.277001e-01
6.700000e-01,9.273398e-01
6.800000e-01,9.269741e-01
6.900000e-01,9.266031e-01
7.000000e-01,9.262268e-01
7.100000e-01,9.258452e-01
7.200000e-01,9.254583e-01
7.300000e-01,9.250660e-01
7.400000e-01,9.246685e-01
7.500000e-01,9.242657e-01
7.600000e-01,9.238576e-01
7.700000e-01,9.234442e-01
7.800000e-01,9.230255e-01
7.900000e-01,9.226016e-01
8.000000e-01,9.221723e-01
8.100000e-01,9.217378e-01
8.200000e-01,9.212980e-01
8.300000e-01,9.208530e-01
8.400000e-01,9.204026e-01
8.500000e-01,9.199470e-01
8.600000e-01,9.194862e-01
8.700000e-01,9.190201e-01
8.800000e-01,9.185487e-01
8.900000e-01,9.180721e-01
9.000000e-01,9.175902e-01
9.100000e-01,9.171031e-01
9.200000e-01,9.166108e-01
9.300000e-01,9.161132e-01
9.400000e-01,9.156104e-01
9.500000e-01,9.151024e-01
9.600000e-01,9.145892e-01
9.700000e-01,9.140707e-01
9.800000e-01,9.135471e-01
9.900000e-01,9.130223e-01
