x,u
0.000000e+00,9.591586e-01
1.000000e-02,9.591433e-01
2.000000e-02,9.591293e-01
3.000000e-02,9.591114e-01
4.000000e-02,9.590886e-01
5.000000e-02,9.590605e-01
6.000000e-02,9.590271e-01
7.000000e-02,9.589884e-01
8.000000e-02,9.589444e-01
9.000000e-02,9.588951e-01
1.000000e-01,9.588404e-01
1.100000e-01,9.587804e-01
1.200000e-01,9.587150e-01
1.300000e-01,9.586442e-01
1.400000e-01,9.585681e-01
1.500000e-01,9.584867e-01
1.600000e-01,9.583999e-01
1.700000e-01,9.583077e-01
1.800000e-01,9.582102e-01
1.900000e-01,9.581074e-01
2.000000e-01,9.579992e-01
2.100000e-01,9.578856e-01
2.200000e-01,9.577666e-01
2.300000e-01,9.576423e-01
2.400000e-01,9.575127e-01
2.500000e-01,9.573776e-01
2.600000e-01,9.572373e-01
2.700000e-01,9.570915e-01
2.800000e-01,9.569404e-01
2.900000e-01,9.567839e-01
3.000000e-01,9.566220e-01
3.100000e-01,9.564548e-01
3.200000e-01,9.562822e-01
3.300000e-01,9.561042e-01
3.400000e-01,9.559208e-01
3.500000e-01,9.557321e-01
3.600000e-01,9.555379e-01
3.700000e-01,9.553384e-01
3.800000e-01,9.551335e-01
3.900000e-01,9.549232e-01
4.000000e-01,9.547076e-01
4.100000e-01,9.544865e-01
4.200000e-01,9.542601e-01
4.300000e-01,9.540282e-01
4.400000e-01,9.537910e-01
4.500000e-01,9.535483e-01
4.600000e-01,9.533003e-01
4.700000e-01,9.530468e-01
4.800000e-01,9.527880e-01
4.900000e-01,9.525237e-01
5.000000e-01,9.522541e-01
5.100000e-01,9.519790e-01
5.200000e-01,9.516985e-01
5.300000e-01,9.514126e-01
5.400000e-01,9.511213e-01
5.500000e-01,9.508246e-01
5.600000e-01,9.505225e-01
5.700000e-01,9.502149e-01
5.800000e-01,9.499020e-01
5.900000e-01,9.495836e-01
6.000000e-01,9.492597e-01
6.100000e-01,9.489305e-01
6.200000e-01,9.485958e-01
6.300000e-01,9.482557e-01
6.400000e-01,9.479102e-01
6.500000e-01,9.475592e-01
6.600000e-01,9.472028e-01
6.700000e-01,9.468410e-01
6.800000e-01,9.464738e-01
6.900000e-01,9.461011e-01
7.000000e-01,9.457230e-01
7.100000e-01,9.453394e-01
7.200000e-01,9.449504e-01
7.300000e-01,9.445560e-01
7.400000e-01,9.441561e-01
7.500000e-01,9.437508e-01
7.600000e-01,9.433401e-01
7.700000e-01,9.429239e-01
7.800000e-01,9.425023e-01
7.900000e-01,9.420753e-01
8.000000e-01,9.416428e-01
8.100000e-01,9.412049e-01
8.200000e-01,9.407616e-01
8.300000e-01,9.403128e-01
8.400000e-01,9.398586e-01
8.500000e-01,9.393989e-01
8.600000e-01,9.389338e-01
8.700000e-01,9.384633e-01
8.800000e-01,9.379874e-01
8.900000e-01,9.375060e-01
9.000000e-01,9.370192e-01
9.100000e-01,9.365270e-01
9.200000e-01,9.360294e-01
9.300000e-01,9.355263e-01
9.400000e-01,9.350179e-01
9.500000e-01,9.345040e-01
9.600000e-01,9.339847e-01
9.700000e-01,9.334600e-01
9.800000e-01,9.329298e-01
9.900000e-01,9.323985e-01
