x,u
0.000000e+00,9.471038e-01
1.000000e-02,9.470884e-01
2.000000e-02,9.470743e-01
3.000000e-02,9.470563e-01
4.000000e-02,9.470333e-01
5.000000e-02,9.470050e-01
6.000000e-02,9.469713e-01
7.000000e-02,9.469324e-01
8.000000e-02,9.468880e-01
9.000000e-02,9.468383e-01
1.000000e-01,9.467832e-01
1.100000e-01,9.467227e-01
1.200000e-01,9.466568e-01
1.300000e-01,9.465856e-01
1.400000e-01,9.465089e-01
1.500000e-01,9.464269e-01
1.600000e-01,9.463395e-01
1.700000e-01,9.462467e-01
1.800000e-01,9.461485e-01
1.900000e-01,9.460449e-01
2.000000e-01,9.459359e-01
2.100000e-01,9.458216e-01
2.200000e-01,9.457018e-01
2.300000e-01,9.455767e-01
2.400000e-01,9.454462e-01
2.500000e-01,9.453103e-01
2.600000e-01,9.451690e-01
2.700000e-01,9.450224e-01
2.800000e-01,9.448703e-01
2.900000e-01,9.447129e-01
3.000000e-01,9.445501e-01
3.100000e-01,9.443818e-01
3.200000e-01,9.442083e-01
3.300000e-01,9.440293e-01
3.400000e-01,9.438449e-01
3.500000e-01,9.436552e-01
3.600000e-01,9.434601e-01
3.700000e-01,9.432596e-01
3.800000e-01,9.430537e-01
3.900000e-01,9.428424e-01
4.000000e-01,9.426258e-01
4.100000e-01,9.424037e-01
4.200000e-01,9.421763e-01
4.300000e-01,9.419435e-01
4.400000e-01,9.417054e-01
4.500000e-01,9.414618e-01
4.600000e-01,9.412129e-01
4.700000e-01,9.409586e-01
4.800000e-01,9.406989e-01
4.900000e-01,9.404338e-01
5.000000e-01,9.401633e-01
5.100000e-01,9.398875e-01
5.200000e-01,9.396063e-01
5.300000e-01,9.393197e-01
5.400000e-01,9.390278e-01
5.500000e-01,9.387305e-01
5.600000e-01,9.384278e-01
5.700000e-01,9.381197e-01
5.800000e-01,9.378063e-01
5.900000e-01,9.374875e-01
6.000000e-01,9.371633e-01
6.100000e-01,9.368337e-01
6.200000e-01,9.364988e-01
6.300000e-01,9.361585e-01
6.400000e-01,9.358129e-01
6.500000e-01,9.354619e-01
6.600000e-01,9.351055e-01
6.700000e-01,9.347438e-01
6.800000e-01,9.343767e-01
6.900000e-01,9.340043e-01
7.000000e-01,9.336265e-01
7.100000e-01,9.332433e-01
7.200000e-01,9.328549e-01
7.300000e-01,9.324610e-01
7.400000e-01,9.320618e-01
7.500000e-01,9.316573e-01
7.600000e-01,9.312474e-01
7.700000e-01,9.308322e-01
7.800000e-01,9.304116e-01
7.900000e-01,9.299857e-01
8.000000e-01,9.295545e-01
8.100000e-01,9.291179e-01
8.200000e-01,9.286760e-01
8.300000e-01,9.282288e-01
8.400000e-01,9.277763e-01
8.500000e-01,9.273184e-01
8.600000e-01,9.268552e-01
8.700000e-01,9.263867e-01
8.800000e-01,9.259129e-01
8.900000e-01,9.254338e-01
9.000000e-01,9.249494e-01
9.100000e-01,9.244597e-01
9.200000e-01,9.239647e-01
9.300000e-01,9.234644e-01
9.400000e-01,9.229588e-01
9.500000e-01,9.224479e-01
9.600000e-01,9.219318e-01
9.700000e-01,9.214103e-01
9.800000e-01,9.208836e-01
9.900000e-01,9.203557e-01
