x,u
0.000000e+00,9.898887e-01
1.000000e-02,9.898771e-01
2.000000e-02,9.898664e-01
3.000000e-02,9.898527e-01
4.000000e-02,9.898353e-01
5.000000e-02,9.898138e-01
6.000000e-02,9.897883e-01
7.000000e-02,9.897588e-01
8.000000e-02,9.897251e-01
9.000000e-02,9.896873e-01
1.000000e-01,9.896454e-01
1.100000e-01,9.895994e-01
1.200000e-01,9.895492e-01
1.300000e-01,9.894949e-01
1.400000e-01,9.894364e-01
1.500000e-01,9.893738e-01
1.600000e-01,9.893069e-01
1.700000e-01,9.892359e-01
1.800000e-01,9.891606e-01
1.900000e-01,9.890810e-01
2.000000e-01,9.889972e-01
2.100000e-01,9.889092e-01
2.200000e-01,9.888168e-01
2.300000e-01,9.887202e-01
2.400000e-01,9.886192e-01
2.500000e-01,9.885138e-01
2.600000e-01,9.884041e-01
2.700000e-01,9.882900e-01
2.800000e-01,9.881714e-01
2.900000e-01,9.880484e-01
3.000000e-01,9.879210e-01
3.100000e-01,9.877890e-01
3.200000e-01,9.876525e-01
3.300000e-01,9.875115e-01
3.400000e-01,9.873659e-01
3.500000e-01,9.872157e-01
3.600000e-01,9.870609e-01
3.700000e-01,9.869014e-01
3.800000e-01,9.867372e-01
3.900000e-01,9.865683e-01
4.000000e-01,9.863947e-01
4.100000e-01,9.862163e-01
4.200000e-01,9.860330e-01
4.300000e-01,9.858450e-01
4.400000e-01,9.856520e-01
4.500000e-01,9.854542e-01
4.600000e-01,9.852514e-01
4.700000e-01,9.850436e-01
4.800000e-01,9.848309e-01
4.900000e-01,9.846131e-01
5.000000e-01,9.843902e-01
5.100000e-01,9.841623e-01
5.200000e-01,9.839292e-01
5.300000e-01,9.836909e-01
5.400000e-01,9.834474e-01
5.500000e-01,9.831987e-01
5.600000e-01,9.829447e-01
5.700000e-01,9.826854e-01
5.800000e-01,9.824208e-01
5.900000e-01,9.821508e-01
6.000000e-01,9.818753e-01
6.100000e-01,9.815945e-01
6.200000e-01,9.813081e-01
6.300000e-01,9.810162e-01
6.400000e-01,9.807188e-01
6.500000e-01,9.804158e-01
6.600000e-01,9.801072e-01
6.700000e-01,9.797929e-01
6.800000e-01,9.794730e-01
6.900000e-01,9.791473e-01
7.000000e-01,9.788159e-01
7.100000e-01,9.784787e-01
7.200000e-01,9.781357e-01
7.300000e-01,9.777868e-01
7.400000e-01,9.774321e-01
7.500000e-01,9.770714e-01
7.600000e-01,9.767048e-01
7.700000e-01,9.763323e-01
7.800000e-01,9.759537e-01
7.900000e-01,9.755691e-01
8.000000e-01,9.751785e-01
8.100000e-01,9.747818e-01
8.200000e-01,9.743790e-01
8.300000e-01,9.739700e-01
8.400000e-01,9.735548e-01
8.500000e-01,9.731335e-01
8.600000e-01,9.727060e-01
8.700000e-01,9.722722e-01
8.800000e-01,9.718321e-01
8.900000e-01,9.713858e-01
9.000000e-01,9.709331e-01
9.100000e-01,9.704742e-01
9.200000e-01,9.700088e-01
9.300000e-01,9.695371e-01
9.400000e-01,9.690590e-01
9.500000e-01,9.685745e-01
9.600000e-01,9.680836e-01
9.700000e-01,9.675862e-01
9.800000e-01,9.670823e-01
9.900000e-01,9.665763e-01
