x,u
0.000000e+00,9.341033e-01
1.000000e-02,9.340879e-01
2.000000e-02,9.340739e-01
3.000000e-02,9.340559e-01
4.000000e-02,9.340330e-01
5.000000e-02,9.340048e-01
6.000000e-02,9.339713e-01
7.000000e-02,9.339325e-01
8.000000e-02,9.338883e-01
9.000000e-02,9.338388e-01
1.000000e-01,9.337839e-01
1.100000e-01,9.337236e-01
1.200000e-01,9.336580e-01
1.300000e-01,9.335870e-01
1.400000e-01,9.335106e-01
1.500000e-01,9.334289e-01
1.600000e-01,9.333418e-01
1.700000e-01,9.332494e-01
1.800000e-01,9.331516e-01
1.900000e-01,9.330484e-01
2.000000e-01,9.329399e-01
2.100000e-01,9.328260e-01
2.200000e-01,9.327068e-01
2.300000e-01,9.325822e-01
2.400000e-01,9.324522e-01
2.500000e-01,9.323169e-01
2.600000e-01,9.321763e-01
2.700000e-01,9.320303e-01
2.800000e-01,9.318789e-01
2.900000e-01,9.317222e-01
3.000000e-01,9.315601e-01
3.100000e-01,9.313927e-01
3.200000e-01,9.312199e-01
3.300000e-01,9.310418e-01
3.400000e-01,9.308583e-01
3.500000e-01,9.306695e-01
3.600000e-01,9.304753e-01
3.700000e-01,9.302758e-01
3.800000e-01,9.300710e-01
3.900000e-01,9.298608e-01
4.000000e-01,9.296453e-01
4.100000e-01,9.294244e-01
4.200000e-01,9.291982e-01
4.300000e-01,9.289667e-01
4.400000e-01,9.287299e-01
4.500000e-01,9.284877e-01
4.600000e-01,9.282402e-01
4.700000e-01,9.279873e-01
4.800000e-01,9.277291e-01
4.900000e-01,9.274656e-01
5.000000e-01,9.271968e-01
5.100000e-01,9.269227e-01
5.200000e-01,9.266432e-01
5.300000e-01,9.263584e-01
5.400000e-01,9.260683e-01
5.500000e-01,9.257729e-01
5.600000e-01,9.254722e-01
5.700000e-01,9.251662e-01
5.800000e-01,9.248549e-01
5.900000e-01,9.245382e-01
6.000000e-01,9.242163e-01
6.100000e-01,9.238891e-01
6.200000e-01,9.235565e-01
6.300000e-01,9.232187e-01
6.400000e-01,9.228756e-01
6.500000e-01,9.225272e-01
6.600000e-01,9.221735e-01
6.700000e-01,9.218145e-01
6.800000e-01,9.214502e-01
6.900000e-01,9.210807e-01
7.000000e-01,9.207059e-01
7.100000e-01,9.203258e-01
7.200000e-01,9.199404e-01
7.300000e-01,9.195498e-01
7.400000e-01,9.191539e-01
7.500000e-01,9.187528e-01
7.600000e-01,9.183464e-01
7.700000e-01,9.179347e-01
7.800000e-01,9.175178e-01
7.900000e-01,9.170956e-01
8.000000e-01,9.166682e-01
8.100000e-01,9.162356e-01
8.200000e-01,9.157977e-01
8.300000e-01,9.153546e-01
8.400000e-01,9.149062e-01
8.500000e-01,9.144527e-01
8.600000e-01,9.139939e-01
8.700000e-01,9.135299e-01
8.800000e-01,9.130607e-01
8.900000e-01,9.125863e-01
9.000000e-01,9.121066e-01
9.100000e-01,9.116218e-01
9.200000e-01,9.111318e-01
9.300000e-01,9.106365e-01
9.400000e-01,9.101361e-01
9.500000e-01,9.096306e-01
9.600000e-01,9.091198e-01
9.700000e-01,9.086038e-01
9.800000e-01,9.080828e-01
9.900000e-01,9.075605e-01
