x,u
0.000000e+00,9.405974e-01
1.000000e-02,9.405820e-01
2.000000e-02,9.405679e-01
3.000000e-02,9.405499e-01
4.000000e-02,9.405269e-01
5.000000e-02,9.404986e-01
6.000000e-02,9.404650e-01
7.000000e-02,9.404261e-01
8.000000e-02,9.403818e-01
9.000000e-02,9.403321e-01
1.000000e-01,9.402770e-01
1.100000e-01,9.402166e-01
1.200000e-01,9.401508e-01
1.300000e-01,9.400796e-01
1.400000e-01,9.400030e-01
1.500000e-01,9.399211e-01
1.600000e-01,9.398337e-01
1.700000e-01,9.397410e-01
1.800000e-01,9.396429e-01
1.900000e-01,9.395394e-01
2.000000e-01,9.394306e-01
2.100000e-01,9.393164e-01
2.200000e-01,9.391968e-01
2.300000e-01,9.390718e-01
2.400000e-01,9.389414e-01
2.500000e-01,9.388057e-01
2.600000e-01,9.386646e-01
2.700000e-01,9.385181e-01
2.800000e-01,9.383662e-01
2.900000e-01,9.382090e-01
3.000000e-01,9.380464e-01
3.100000e-01,9.378785e-01
3.200000e-01,9.377051e-01
3.300000e-01,9.375264e-01
3.400000e-01,9.373423e-01
3.500000e-01,9.371529e-01
3.600000e-01,9.369581e-01
3.700000e-01,9.367579e-01
3.800000e-01,9.365524e-01
3.900000e-01,9.363415e-01
4.000000e-01,9.361252e-01
4.100000e-01,9.359036e-01
4.200000e-01,9.356766e-01
4.300000e-01,9.354442e-01
4.400000e-01,9.352065e-01
4.500000e-01,9.349634e-01
4.600000e-01,9.347150e-01
4.700000e-01,9.344612e-01
4.800000e-01,9.342021e-01
4.900000e-01,9.339376e-01
5.000000e-01,9.336677e-01
5.100000e-01,9.333925e-01
5.200000e-01,9.331120e-01
5.300000e-01,9.328261e-01
5.400000e-01,9.325349e-01
5.500000e-01,9.322383e-01
5.600000e-01,9.319364e-01
5.700000e-01,9.316291e-01
5.800000e-01,9.313165e-01
5.900000e-01,9.309986e-01
6.000000e-01,9.306753e-01
6.100000e-01,9.303467e-01
6.200000e-01,9.300127e-01
6.300000e-01,9.296734e-01
6.400000e-01,9.293288e-01
6.500000e-01,9.289789e-01
6.600000e-01,9.286237e-01
6.700000e-01,9.282631e-01
6.800000e-01,9.278972e-01
6.900000e-01,9.275260e-01
7.000000e-01,9.271495e-01
7.100000e-01,9.267676e-01
7.200000e-01,9.263805e-01
7.300000e-01,9.259880e-01
7.400000e-01,9.255903e-01
7.500000e-01,9.251872e-01
7.600000e-01,9.247788e-01
7.700000e-01,9.243652e-01
7.800000e-01,9.239462e-01
7.900000e-01,9.235220e-01
8.000000e-01,9.230925e-01
8.100000e-01,9.226577e-01
8.200000e-01,9.222176e-01
8.300000e-01,9.217722e-01
8.400000e-01,9.213216e-01
8.500000e-01,9.208656e-01
8.600000e-01,9.204045e-01
8.700000e-01,9.199380e-01
8.800000e-01,9.194663e-01
8.900000e-01,9.189894e-01
9.000000e-01,9.185072e-01
9.100000e-01,9.180197e-01
9.200000e-01,9.175270e-01
9.300000e-01,9.170291e-01
9.400000e-01,9.165259e-01
9.500000e-01,9.160175e-01
9.600000e-01,9.155039e-01
9.700000e-01,9.149850e-01
9.800000e-01,9.144610e-01
9.900000e-01,9.139358e-01
