x,u
0.000000e+00,9.673970e-01
1.000000e-02,9.673820e-01
2.000000e-02,9.673683e-01
3.000000e-02,9.673507e-01
4.000000e-02,9.673282e-01
5.000000e-02,9.673006e-01
6.000000e-02,9.672679e-01
7.000000e-02,9.672299e-01
8.000000e-02,9.671866e-01
9.000000e-02,9.671382e-01
1.000000e-01,9.670844e-01
1.100000e-01,9.670254e-01
1.200000e-01,9.669612e-01
1.300000e-01,9.668917e-01
1.400000e-01,9.668169e-01
1.500000e-01,9.667368e-01
1.600000e-01,9.666515e-01
1.700000e-01,9.665609e-01
1.800000e-01,9.664651e-01
1.900000e-01,9.663639e-01
2.000000e-01,9.662575e-01
2.100000e-01,9.661458e-01
2.200000e-01,9.660288e-01
2.300000e-01,9.659066e-01
2.400000e-01,9.657790e-01
2.500000e-01,9.656461e-01
2.600000e-01,9.655080e-01
2.700000e-01,9.653645e-01
2.800000e-01,9.652158e-01
2.900000e-01,9.650617e-01
3.000000e-01,9.649023e-01
3.100000e-01,9.647376e-01
3.200000e-01,9.645676e-01
3.300000e-01,9.643923e-01
3.400000e-01,9.642116e-01
3.500000e-01,9.640256e-01
3.600000e-01,9.638343e-01
3.700000e-01,9.636376e-01
3.800000e-01,9.634356e-01
3.900000e-01,9.632282e-01
4.000000e-01,9.630155e-01
4.100000e-01,9.627974e-01
4.200000e-01,9.625739e-01
4.300000e-01,9.623451e-01
4.400000e-01,9.621109e-01
4.500000e-01,9.618713e-01
4.600000e-01,9.616263e-01
4.700000e-01,9.613760e-01
4.800000e-01,9.611202e-01
4.900000e-01,9.608591e-01
5.000000e-01,9.605925e-01
5.100000e-01,9.603206e-01
5.200000e-01,9.600432e-01
5.300000e-01,9.597604e-01
5.400000e-01,9.594722e-01
5.500000e-01,9.591785e-01
5.600000e-01,9.588794e-01
5.700000e-01,9.585749e-01
5.800000e-01,9.582650e-01
5.900000e-01,9.579496e-01
6.000000e-01,9.576287e-01
6.100000e-01,9.573024e-01
6.200000e-01,9.569706e-01
6.300000e-01,9.566334e-01
6.400000e-01,9.562907e-01
6.500000e-01,9.559425e-01
6.600000e-01,9.555888e-01
6.700000e-01,9.552297e-01
6.800000e-01,9.548650e-01
6.900000e-01,9.544949e-01
7.000000e-01,9.541193e-01
7.100000e-01,9.537382e-01
7.200000e-01,9.533515e-01
7.300000e-01,9.529594e-01
7.400000e-01,9.525618e-01
7.500000e-01,9.521586e-01
7.600000e-01,9.517500e-01
7.700000e-01,9.513358e-01
7.800000e-01,9.509161e-01
7.900000e-01,9.504908e-01
8.000000e-01,9.500601e-01
8.100000e-01,9.496238e-01
8.200000e-01,9.491820e-01
8.300000e-01,9.487347e-01
8.400000e-01,9.482818e-01
8.500000e-01,9.478234e-01
8.600000e-01,9.473594e-01
8.700000e-01,9.468899e-01
8.800000e-01,9.464149e-01
8.900000e-01,9.459343e-01
9.000000e-01,9.454482e-01
9.100000e-01,9.449565e-01
9.200000e-01,9.444593e-01
9.300000e-01,9.439566e-01
9.400000e-01,9.434483e-01
9.500000e-01,9.429345e-01
9.600000e-01,9.424151e-01
9.700000e-01,9.418902e-01
9.800000e-01,9.413597e-01
9.900000e-01,9.408279e-01
