x,u
0.000000e+00,9.999896e-01
1.000000e-02,9.999894e-01
2.000000e-02,9.999892e-01
3.000000e-02,9.999890e-01
4.000000e-02,9.999887e-01
5.000000e-02,9.999883e-01
6.000000e-02,9.999879e-01
7.000000e-02,9.999874e-01
8.000000e-02,9.999868e-01
9.000000e-02,9.999861e-01
1.000000e-01,9.999853e-01
1.100000e-01,9.999844e-01
1.200000e-01,9.999834e-01
1.300000e-01,9.999823e-01
1.400000e-01,9.999811e-01
1.500000e-01,9.999797e-01
1.600000e-01,9.999782e-01
1.700000e-01,9.999765e-01
1.800000e-01,9.999746e-01
1.900000e-01,9.999726e-01
2.000000e-01,9.999704e-01
2.100000e-01,9.999679e-01
2.200000e-01,9.999652e-01
2.300000e-01,9.999623e-01
2.400000e-01,9.999591e-01
2.500000e-01,9.999556e-01
2.600000e-01,9.999517e-01
2.700000e-01,9.999476e-01
2.800000e-01,9.999430e-01
2.900000e-01,9.999380e-01
3.000000e-01,9.999326e-01
3.100000e-01,9.999267e-01
3.200000e-01,9.999203e-01
3.300000e-01,9.999134e-01
3.400000e-01,9.999058e-01
3.500000e-01,9.998976e-01
3.600000e-01,9.998888e-01
3.700000e-01,9.998791e-01
3.800000e-01,9.998687e-01
3.900000e-01,9.998575e-01
4.000000e-01,9.998453e-01
4.100000e-01,9.998322e-01
4.200000e-01,9.998180e-01
4.300000e-01,9.998027e-01
4.400000e-01,9.997862e-01
4.500000e-01,9.997685e-01
4.600000e-01,9.997494e-01
4.700000e-01,9.997289e-01
4.800000e-01,9.997068e-01
4.900000e-01,9.996831e-01
5.000000e-01,9.996577e-01
5.100000e-01,9.996304e-01
5.200000e-01,9.996012e-01
5.300000e-01,9.995700e-01
5.400000e-01,9.995365e-01
5.500000e-01,9.995008e-01
5.600000e-01,9.994626e-01
5.700000e-01,9.994219e-01
5.800000e-01,9.993785e-01
5.900000e-01,9.993322e-01
6.000000e-01,9.992829e-01
6.100000e-01,9.992305e-01
6.200000e-01,9.991747e-01
6.300000e-01,9.991155e-01
6.400000e-01,9.990527e-01
6.500000e-01,9.989860e-01
6.600000e-01,9.989153e-01
6.700000e-01,9.988405e-01
6.800000e-01,9.987613e-01
6.900000e-01,9.986776e-01
7.000000e-01,9.985892e-01
7.100000e-01,9.984958e-01
7.200000e-01,9.983973e-01
7.300000e-01,9.982934e-01
7.400000e-01,9.981840e-01
7.500000e-01,9.980689e-01
7.600000e-01,9.979478e-01
7.700000e-01,9.978205e-01
7.800000e-01,9.976868e-01
7.900000e-01,9.975466e-01
8.000000e-01,9.973995e-01
8.100000e-01,9.972453e-01
8.200000e-01,9.970840e-01
8.300000e-01,9.969151e-01
8.400000e-01,9.967385e-01
8.500000e-01,9.965541e-01
8.600000e-01,9.963615e-01
8.700000e-01,9.961606e-01
8.800000e-01,9.959511e-01
8.900000e-01,9.957329e-01
9.000000e-01,9.955057e-01
9.100000e-01,9.952693e-01
9.200000e-01,9.950235e-01
9.300000e-01,9.947682e-01
9.400000e-01,9.945032e-01
9.500000e-01,9.942281e-01
9.600000e-01,9.939430e-01
9.700000e-01,9.936475e-01
9.800000e-01,9.933416e-01
9.900000e-01,9.930294e-01
