time[s],u[m/s]
177,7.312916e-01,1.400000e+01
178,7.860168e-01,1.500000e+01
179,6.727776e-01,1.300000e+01
180,8.805917e-01,1.700000e+01
181,4.205999e-01,8.000000e+00
182,9.747825e-01,1.900000e+01
183,9.832622e-02,1.000000e+00
184,3.546327e-01,7.000000e+00
185,9.154734e-01,1.800000e+01
186,3.095275e-01,6.000000e+00
187,8.548808e-01,1.700000e+01
188,4.962383e-01,9.000000e+00
189,9.999434e-01,1.900000e+01
190,2.263883e-04,0.000000e+00
191,9.053483e-04,0.000000e+00
192,3.618115e-03,0.000000e+00
193,1.442010e-02,0.000000e+00
194,5.684863e-02,1.000000e+00
195,2.144674e-01,4.000000e+00
196,6.738846e-01,1.300000e+01
197,8.790566e-01,1.700000e+01
198,4.252645e-01,8.000000e+00
199,9.776584e-01,1.900000e+01
200,8.736970e-02,1.000000e+00
201,3.189449e-01,6.000000e+00
202,8.688763e-01,1.700000e+01
203,4.557212e-01,9.000000e+00
204,9.921576e-01,1.900000e+01
205,3.112378e-02,0.000000e+00
206,1.206204e-01,2.000000e+00
207,4.242844e-01,8.000000e+00
208,9.770686e-01,1.900000e+01
209,8.962227e-02,1.000000e+00
210,3.263605e-01,6.000000e+00
211,8.793972e-01,1.700000e+01
212,4.242309e-01,8.000000e+00
213,9.770362e-01,1.900000e+01
214,8.974593e-02,1.000000e+00
215,3.267664e-01,6.000000e+00
216,8.799605e-01,1.700000e+01
217,4.225202e-01,8.000000e+00
218,9.759875e-01,1.900000e+01
219,9.374360e-02,1.000000e+00
220,3.398230e-01,6.000000e+00
221,8.973733e-01,1.700000e+01
222,3.683780e-01,7.000000e+00
223,9.307026e-01,1.800000e+01
224,2.579811e-01,5.000000e+00
225,7.657075e-01,1.500000e+01
226,7.175981e-01,1.400000e+01
227,8.106043e-01,1.600000e+01
228,6.140999e-01,1.200000e+01
229,9.479248e-01,1.800000e+01
230,1.974534e-01,3.000000e+00
231,6.338621e-01,1.200000e+01
232,9.283237e-01,1.800000e+01
233,2.661552e-01,5.000000e+00
234,7.812664e-01,1.500000e+01
235,6.835570e-01,1.300000e+01
236,8.652274e-01,1.700000e+01
237,4.664359e-01,9.000000e+00
238,9.954938e-01,1.900000e+01
239,1.794359e-02,0.000000e+00
240,7.048646e-02,1.000000e+00
241,2.620725e-01,5.000000e+00
242,7.735620e-01,1.500000e+01
243,7.006554e-01,1.400000e+01
244,8.389497e-01,1.600000e+01
245,5.404525e-01,1.000000e+01
246,9.934544e-01,1.900000e+01
247,2.601112e-02,0.000000e+00
248,1.013382e-01,2.000000e+00
249,3.642750e-01,7.000000e+00
250,9.263149e-01,1.800000e+01
251,2.730225e-01,5.000000e+00
252,7.939248e-01,1.500000e+01
253,6.544328e-01,1.300000e+01
254,9.046020e-01,1.800000e+01
255,3.451889e-01,6.000000e+00
256,9.041341e-01,1.800000e+01
257,3.467026e-01,6.000000e+00
258,9.059996e-01,1.800000e+01
259,3.406573e-01,6.000000e+00
260,8.984396e-01,1.700000e+01
261,3.649836e-01,7.000000e+00
262,9.270823e-01,1.800000e+01
263,2.704030e-01,5.000000e+00
264,7.891409e-01,1.500000e+01
265,6.655902e-01,1.300000e+01
266,8.903195e-01,1.700000e+01
267,3.906027e-01,7.000000e+00
268,9.521290e-01,1.900000e+01
269,1.823176e-01,3.000000e+00
270,5.963116e-01,1.100000e+01
271,9.628963e-01,1.900000e+01
272,1.429079e-01,2.000000e+00
273,4.899410e-01,9.000000e+00
274,9.995953e-01,1.900000e+01
275,1.618268e-03,0.000000e+00
276,6.462596e-03,0.000000e+00
277,2.568332e-02,0.000000e+00
278,1.000948e-01,2.000000e+00
279,3.603032e-01,7.000000e+00
280,9.219392e-01,1.800000e+01
281,2.878691e-01,5.000000e+00
282,8.200020e-01,1.600000e+01
283,5.903949e-01,1.100000e+01
284,9.673151e-01,1.900000e+01
285,1.264665e-01,2.000000e+00
286,4.418910e-01,8.000000e+00
287,9.864934e-01,1.900000e+01
288,5.329684e-02,1.000000e+00
289,2.018251e-01,4.000000e+00
290,6.443670e-01,1.200000e+01
291,9.166327e-01,1.800000e+01
292,3.056689e-01,6.000000e+00
293,8.489417e-01,1.600000e+01
294,5.129588e-01,1.000000e+01
295,9.993283e-01,1.900000e+01
296,2.685098e-03,0.000000e+00
297,1.071155e-02,0.000000e+00
298,4.238726e-02,0.000000e+00
299,1.623623e-01,3.000000e+00
300,5.440032e-01,1.000000e+01
301,9.922549e-01,1.900000e+01
302,3.074055e-02,0.000000e+00
303,1.191823e-01,2.000000e+00
304,4.199115e-01,8.000000e+00
305,9.743433e-01,1.900000e+01
306,9.999371e-02,1.000000e+00
307,3.599799e-01,7.000000e+00
308,9.215775e-01,1.800000e+01
309,2.890898e-01,5.000000e+00
310,8.220675e-01,1.600000e+01
311,5.850900e-01,1.100000e+01
312,9.710388e-01,1.900000e+01
313,1.124899e-01,2.000000e+00
314,3.993438e-01,7.000000e+00
315,9.594733e-01,1.900000e+01
316,1.555371e-01,3.000000e+00
317,5.253812e-01,1.000000e+01
318,9.974232e-01,1.900000e+01
319,1.028069e-02,0.000000e+00
320,4.069999e-02,0.000000e+00
321,1.561740e-01,3.000000e+00
322,5.271347e-01,1.000000e+01
323,9.970548e-01,1.900000e+01
324,1.174597e-02,0.000000e+00
325,4.643202e-02,0.000000e+00
326,1.771044e-01,3.000000e+00
327,5.829536e-01,1.100000e+01
328,9.724748e-01,1.900000e+01
329,1.070703e-01,2.000000e+00
330,3.824250e-01,7.000000e+00
331,9.447045e-01,1.800000e+01
332,2.089516e-01,4.000000e+00
333,6.611632e-01,1.300000e+01
334,8.961057e-01,1.700000e+01
335,3.724011e-01,7.000000e+00
336,9.348741e-01,1.800000e+01
337,2.435380e-01,4.000000e+00
338,7.369089e-01,1.400000e+01
339,7.754967e-01,1.500000e+01
340,6.964062e-01,1.300000e+01
341,8.456984e-01,1.600000e+01
342,5.219705e-01,1.000000e+01
343,9.980692e-01,1.900000e+01
344,7.708332e-03,0.000000e+00
345,3.059565e-02,0.000000e+00
346,1.186382e-01,2.000000e+00
347,4.182528e-01,8.000000e+00
348,9.732696e-01,1.900000e+01
349,1.040635e-01,2.000000e+00
350,3.729372e-01,7.000000e+00
351,9.354202e-01,1.800000e+01
352,2.416370e-01,4.000000e+00
353,7.329943e-01,1.400000e+01
354,7.828546e-01,1.500000e+01
355,6.799732e-01,1.300000e+01
356,8.704386e-01,1.700000e+01
357,4.511009e-01,9.000000e+00
358,9.904355e-01,1.900000e+01
359,3.789200e-02,0.000000e+00
360,1.458248e-01,2.000000e+00
361,4.982397e-01,9.000000e+00
362,9.999876e-01,1.900000e+01
363,4.957873e-05,0.000000e+00
364,1.983051e-04,0.000000e+00
365,7.930630e-04,0.000000e+00
366,3.169736e-03,0.000000e+00
367,1.263876e-02,0.000000e+00
368,4.991607e-02,0.000000e+00
369,1.896978e-01,3.000000e+00
370,6.148502e-01,1.200000e+01
371,9.472377e-01,1.800000e+01
372,1.999138e-01,3.000000e+00
373,6.397931e-01,1.200000e+01
374,9.218316e-01,1.800000e+01
375,2.882325e-01,5.000000e+00
376,8.206181e-01,1.600000e+01
377,5.888162e-01,1.100000e+01
378,9.684468e-01,1.900000e+01
379,1.222306e-01,2.000000e+00
380,4.291610e-01,8.000000e+00
381,9.799274e-01,1.900000e+01
382,7.867892e-02,1.000000e+00
383,2.899542e-01,5.000000e+00
384,8.235231e-01,1.600000e+01
385,5.813313e-01,1.100000e+01
386,9.735409e-01,1.900000e+01
387,1.030362e-01,2.000000e+00
388,3.696791e-01,7.000000e+00
389,9.320658e-01,1.800000e+01
390,2.532765e-01,5.000000e+00
391,7.565100e-01,1.500000e+01
392,7.368105e-01,1.400000e+01
393,7.756831e-01,1.500000e+01
394,6.959954e-01,1.300000e+01
395,8.463432e-01,1.600000e+01
396,5.201855e-01,1.000000e+01
397,9.983702e-01,1.900000e+01
398,6.508659e-03,0.000000e+00
399,2.586519e-02,0.000000e+00
400,1.007847e-01,2.000000e+00
401,3.625086e-01,7.000000e+00
402,9.243845e-01,1.800000e+01
403,2.795913e-01,5.000000e+00
