DataNumber,RawWave,Window,Input,Real,Imaginary,Frequency,PowerSpectrum
80,0.491626,0.649726,0.319422,-0.114566,-0.482880,862.950820,0.246298
81,0.091626,0.620094,0.056817,0.160146,0.326052,873.737705,0.131956
82,-0.508374,0.590265,-0.300075,-0.252320,0.011648,884.524590,0.063801
83,-0.708374,0.560374,-0.396954,0.366782,-0.228228,895.311475,0.186617
84,-0.658374,0.530553,-0.349302,-0.272901,0.192528,906.098361,0.111542
85,-0.308374,0.500927,-0.154473,0.110604,0.037481,916.885246,0.013638
86,0.391626,0.471619,0.184698,-0.115614,-0.185279,927.672131,0.047695
87,0.791626,0.442740,0.350484,0.008307,0.185420,938.459016,0.034450
88,0.791626,0.414398,0.328048,0.079347,-0.041007,949.245902,0.007977
89,0.291626,0.386691,0.112769,0.187955,-0.117048,960.032787,0.049027
90,-0.108374,0.359710,-0.038983,-0.468493,-0.019022,970.819672,0.219847
91,-0.608374,0.333536,-0.202915,0.462175,0.265352,981.606557,0.284017
92,-0.708374,0.308241,-0.218350,-0.186546,-0.297908,992.393443,0.123549
93,-0.608374,0.283889,-0.172711,-0.621476,0.408052,1003.180328,0.552739
94,-0.108374,0.260532,-0.028235,1.370003,-0.504406,1013.967213,2.131335
95,0.491626,0.238215,0.117113,-0.971777,0.265418,1024.754098,1.014797
96,0.791626,0.216973,0.171761,0.241615,-0.081183,1035.540984,0.064968
97,0.691626,0.196831,0.136133,-0.107922,0.130526,1046.327869,0.028684
98,0.191626,0.177805,0.034072,0.120253,-0.188686,1057.114754,0.050063
99,-0.308374,0.159904,-0.049310,0.041205,0.193041,1067.901639,0.038963
100,-0.608374,0.143127,-0.087075,-0.186695,-0.147600,1078.688525,0.056641
101,-0.708374,0.127467,-0.090294,0.125260,0.079400,1089.475410,0.021994
102,-0.508374,0.112909,-0.057400,0.071058,-0.026721,1100.262295,0.005763
103,0.091626,0.099432,0.009111,-0.200081,0.069923,1111.049180,0.044922
104,0.691626,0.087010,0.060178,0.187789,-0.232383,1121.836066,0.089266
105,0.791626,0.075610,0.059855,-0.095974,0.242697,1132.622951,0.068113
106,0.591626,0.065198,0.038573,1.675604,0.216655,1143.409836,2.854589
107,0.191626,0.055733,0.010680,-11.109914,-2.257829,1154.196721,128.527991
108,-0.408374,0.047175,-0.019265,19.641787,4.530013,1164.983607,406.320821
109,-0.708374,0.039481,-0.027967,-12.602071,-3.233751,1175.770492,169.269345
110,-0.708374,0.032606,-0.023098,2.500560,0.496133,1186.557377,6.498949
111,-0.408374,0.026508,-0.010825,-0.151996,0.484626,1197.344262,0.257965
112,0.191626,0.021142,0.004051,0.012108,-0.586261,1208.131148,0.343848
113,0.691626,0.016467,0.011389,0.124495,0.460512,1218.918033,0.227571
114,0.791626,0.012444,0.009851,-0.233660,-0.325548,1229.704918,0.160579
115,0.491626,0.009037,0.004443,0.272735,0.223572,1240.491803,0.124369
116,-0.008374,0.006213,-0.000052,-0.079313,-0.295610,1251.278689,0.093676
117,-0.508374,0.003943,-0.002004,-0.155579,0.438611,1262.065574,0.216584
118,-0.708374,0.002203,-0.001561,0.270483,-0.459325,1272.852459,0.284141
119,-0.608374,0.000974,-0.000593,-0.408070,0.384681,1283.639344,0.314501
120,-0.308374,0.000243,-0.000075,0.460734,-0.043665,1294.426230,0.214183
121,0.391626,-0.000000,-0.000000,-0.187109,-0.273060,1305.213115,0.109572
